ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,res,oxd
pdb4eeg,7,8,7,8,1,1,2.09350848197937,2.2333016395568848,2.2481558322906494,2.41165542602539,10.0,10.0,2.2,2
pdb4eeg,8,8,7,8,7,1,2.125894546508789,2.1951866149902344,2.206284284591675,2.286362648010254,2.3648247718811035,10.0,2.2,2
pdb3ujq,8,8,8,8,1,1,1.6784826517105105,1.9146573543548584,2.2433252334594727,2.4561710357666016,10.0,10.0,2.06,3
pdb3ujq,8,8,8,8,7,1,1.875160217285156,1.968014478683472,2.077256441116333,2.2127881050109863,2.3454465866088867,10.0,2.06,3
pdb3ujq,8,7,8,8,8,1,2.027977466583252,2.124589204788208,2.310841560363769,2.368739604949951,2.455904006958008,10.0,2.06,2
pdb3ujq,8,8,8,7,1,1,2.209941864013672,2.245236396789551,2.3055014610290527,2.3162434101104736,10.0,10.0,2.06,2
pdb5xd2,8,8,8,8,8,8,2.1018505096435547,2.1237595081329346,2.124192953109741,2.152050018310547,2.21163010597229,2.229715347290039,1.75,2
pdb5xd2,8,8,8,8,1,1,2.0956172943115234,2.208695650100708,2.2406487464904785,2.3071818351745605,10.0,10.0,1.75,2
pdb5xd2,8,8,8,8,1,1,2.1235711574554443,2.27527117729187,2.329549789428711,2.400318384170532,10.0,10.0,1.75,2
pdb1xis,8,8,8,8,7,8,2.103222846984864,2.2364113330841064,2.2410097122192383,2.2982523441314697,2.312093734741211,2.343468189239502,1.6,2
pdb1xis,8,8,8,8,8,1,2.0874011516571045,2.1276259422302246,2.149843454360962,2.171162843704224,2.4056947231292725,10.0,1.6,2
pdb1n0j,8,8,7,7,7,1,1.9398679733276367,2.0157113075256348,2.0754518508911133,2.094649314880371,2.096823215484619,10.0,2.2,3
pdb1n0j,8,8,7,7,7,1,1.941648244857788,2.0083601474761963,2.092806100845337,2.094896078109741,2.109124660491944,10.0,2.2,3
pdb2gnd,8,8,8,8,7,8,2.2246346473693848,2.244527816772461,2.2746639251708984,2.3057074546813965,2.4312775135040283,2.435919523239136,2.25,2
pdb2gnd,8,8,8,8,8,7,2.2759902477264404,2.2933130264282227,2.297499656677246,2.311090469360352,2.346440076828003,2.4776439666748047,2.25,2
pdb2yb1,8,8,7,7,8,1,2.169163703918457,2.200456142425537,2.210061550140381,2.2826056480407715,2.3894622325897217,10.0,1.9,2
pdb2yb1,8,7,7,8,8,1,2.117487668991089,2.156956195831299,2.190481662750244,2.263244152069092,2.450627565383911,10.0,1.9,2
pdb2yb1,8,8,7,7,8,1,2.1155357360839844,2.120756387710572,2.138068914413452,2.220408201217652,2.3252270221710205,10.0,1.9,2
pdb2nzd,8,8,8,8,8,1,1.804087519645691,1.8775782585144043,1.993008494377136,2.2531137466430664,2.4601619243621826,10.0,2.65,3
pdb1i08,8,7,7,7,8,1,1.9465277194976809,2.1484971046447754,2.174895763397217,2.2267520427703857,2.257401943206787,10.0,2.2,2
pdb1i08,8,7,7,7,8,1,1.977977275848389,2.1677122116088867,2.223958969116211,2.229975461959839,2.239753246307373,10.0,2.2,2
pdb1i08,8,7,7,7,8,1,1.927819848060608,2.194026470184326,2.2429025173187256,2.2434451580047607,2.2705395221710205,10.0,2.2,2
pdb1i08,8,7,7,7,8,1,1.9697242975234983,2.13462233543396,2.144345760345459,2.221727132797241,2.2385432720184326,10.0,2.2,2
pdb5fh1,8,8,8,8,8,8,2.07132339477539,2.148533344268799,2.160605430603028,2.1792914867401123,2.199700355529785,2.236475944519043,1.55,2
pdb5fh1,8,8,8,8,7,7,1.91413676738739,1.981497049331665,2.1792104244232178,2.1918487548828125,2.328896999359131,2.33864974975586,1.55,3
pdb1imd,8,8,8,8,8,1,2.0256619453430176,2.0324742794036865,2.188669443130493,2.2546064853668213,2.2956225872039795,10.0,2.6,2
pdb1imd,8,8,8,8,1,1,2.135988712310791,2.170100212097168,2.253911018371582,2.391451597213745,10.0,10.0,2.6,2
pdb1imd,8,8,8,8,8,8,1.9662598371505733,2.092360734939575,2.1096432209014893,2.230390310287476,2.2624964714050293,2.4414069652557373,2.6,2
pdb1imd,8,8,8,8,1,1,2.174122095108032,2.1973752975463867,2.303850650787353,2.3797717094421387,10.0,10.0,2.6,2
pdb3e9b,8,8,8,8,7,1,2.208010673522949,2.217832565307617,2.37431001663208,2.3995838165283203,2.4436821937561035,10.0,2.15,2
pdb3e9b,8,8,7,8,1,1,2.0734012126922607,2.204669713973999,2.2379038333892822,2.321083307266236,10.0,10.0,2.15,2
pdb3e9b,8,8,8,7,8,1,2.098810195922852,2.127748250961304,2.268138885498047,2.341495990753174,2.380847454071045,10.0,2.15,2
pdb3e9b,7,8,8,8,8,1,2.226381778717041,2.2464425563812256,2.334484338760376,2.408114433288574,2.422045946121216,10.0,2.15,2
pdb3e9b,8,8,8,7,8,1,2.1059770584106445,2.13053035736084,2.249046564102173,2.377381563186645,2.461784601211548,10.0,2.15,2
