ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
AWUTIY.Cu(ii).pdb,O,O,O,NE,NE,NE,1.891935110092163,1.8929325342178345,1.9473856687545776,100.0,100.0,100.0,2
QUBFEY.Cu(ii).pdb,N,O,O,N,O,NE,1.9945729970932007,1.9999972581863403,2.0013856887817383,2.006735324859619,2.192378044128418,100.0,2
IZUNOI.Cu(ii).pdb,N,N,N,N,N,NE,1.9114844799041748,1.955568552017212,2.028844118118286,2.0803658962249756,2.133833646774292,100.0,2
RODPEG.Cu(ii).pdb,N,N,O,CL,CL,NE,2.0165622234344482,2.0413219928741455,2.133401870727539,2.236459493637085,2.3737072944641113,100.0,2
GEPGAN.Cu(ii).pdb,O,O,O,O,O,O,1.9573813676834106,1.9577752351760864,2.0091171264648438,2.00911808013916,2.140796184539795,2.1412618160247803,2
ADIMEF.Cu(ii).pdb,O,N,N,N,N,NE,1.9627273082733154,1.974295973777771,2.0545058250427246,2.057304620742798,2.264925003051758,100.0,2
CPRECO.Cu(ii).pdb,O,O,N,N,NE,NE,1.8858517408370972,1.8963757753372192,1.9038982391357422,1.933578372001648,100.0,100.0,2
ZICLUU.Cu(ii).pdb,O,N,N,,NE,NE,1.921770691871643,2.0121099948883057,2.0217807292938232,2.3384876251220703,100.0,100.0,2
ZASSAN.Cu(ii).pdb,O,O,,,NE,NE,1.9284723997116089,1.9510198831558228,2.2083723545074463,2.2361536026000977,100.0,100.0,2
ICOSOJ.Cu(ii).pdb,N,N,S,S,NE,NE,2.0187718868255615,2.089442014694214,2.2497646808624268,2.3508353233337402,100.0,100.0,2
ZUZZOM.Cu(ii).pdb,O,O,N,N,NE,NE,1.9260066747665405,1.928705096244812,1.9372390508651733,1.9457048177719116,100.0,100.0,2
QUJPAN.Cu(ii).pdb,N,N,N,N,O,O,2.002781867980957,2.0038907527923584,2.011657476425171,2.0122110843658447,2.483771562576294,2.484178066253662,2
NABPCU02.Cu(ii).pdb,N,O,O,N,O,NE,1.9633166790008545,1.969717025756836,1.9743610620498657,1.9960966110229492,2.3255367279052734,100.0,2
QOLJUX.Cu(ii).pdb,N,N,N,CL,CL,NE,1.9891357421875,2.029724359512329,2.1782164573669434,2.2657783031463623,2.2734763622283936,100.0,2
ECAFIX02.Cu(ii).pdb,N,O,O,O,O,NE,1.912367343902588,1.9768731594085693,2.0108540058135986,2.014137029647827,2.162904739379883,100.0,2
IROFIF.Cu(ii).pdb,O,O,N,N,NE,NE,1.8944095373153687,1.9135799407958984,1.9207963943481445,1.9259501695632935,100.0,100.0,2
IDAJIG.Cu(ii).pdb,O,O,O,O,N,NE,1.9078954458236694,1.9215905666351318,1.9246571063995361,1.9250729084014893,2.3683338165283203,100.0,2
ZUFRID.Cu(ii).pdb,O,O,O,O,NE,NE,1.9171379804611206,1.9171379804611206,1.918736219406128,1.918736219406128,100.0,100.0,2
XEZQAU.Cu(ii).pdb,N,N,N,N,NE,NE,1.990973949432373,1.9913365840911865,1.9975687265396118,1.998382806777954,100.0,100.0,2
PIHBEO.Cu(ii).pdb,N,N,N,N,N,NE,1.9536534547805786,1.9700905084609985,2.0106945037841797,2.0508861541748047,2.234809160232544,100.0,2
SAZRIY.Cu(ii).pdb,O,N,N,O,O,O,1.9706635475158691,1.9886913299560547,1.9945741891860962,2.0975453853607178,2.246051788330078,2.423309326171875,2
XUQQOS.Cu(ii).pdb,O,O,O,NE,NE,NE,1.9509145021438599,2.1787002086639404,2.1787002086639404,100.0,100.0,100.0,2
SENHUO.Cu(ii).pdb,O,N,O,N,NE,NE,1.8988348245620728,1.9242372512817383,1.9445966482162476,1.9656493663787842,100.0,100.0,2
IKORUY.Cu(ii).pdb,O,O,O,O,NE,NE,1.9189594984054565,1.9237221479415894,1.9242690801620483,1.9346296787261963,100.0,100.0,2
ZUPHIB.Cu(ii).pdb,N,N,N,N,,NE,1.9975625276565552,2.0034098625183105,2.0815770626068115,2.140031337738037,2.305152177810669,100.0,2
ESEMOE.Cu(ii).pdb,O,N,N,N,NE,NE,1.8877224922180176,1.9114115238189697,1.941004991531372,1.9747540950775146,100.0,100.0,2
HAKKOT.Cu(ii).pdb,O,N,N,N,O,NE,1.9629130363464355,2.000840425491333,2.035762310028076,2.0373380184173584,2.1790497303009033,100.0,2
AFOWEX02.Cu(ii).pdb,O,O,N,N,O,NE,1.9376401901245117,1.9378423690795898,2.002119779586792,2.0298287868499756,2.4425857067108154,100.0,2
MUGVEQ.Cu(ii).pdb,O,O,O,O,N,NE,1.9535671472549438,1.962398648262024,1.9624415636062622,1.9650754928588867,2.174191474914551,100.0,2
LIQLAZ.Cu(ii).pdb,N,N,N,N,F,F,2.032325029373169,2.032773017883301,2.046808958053589,2.046809196472168,2.3755438327789307,2.376319408416748,2
UNOJOY.Cu(ii).pdb,O,O,N,N,O,NE,1.9246536493301392,1.931926965713501,1.9932631254196167,2.0106043815612793,2.237504482269287,100.0,2
WOPGEP.Cu(ii).pdb,O,O,N,N,O,O,1.9898350238800049,1.9904385805130005,2.038980722427368,2.038980722427368,2.28579044342041,2.2857916355133057,2
IGOYUY.Cu(ii).pdb,N,N,N,N,NE,NE,2.0011982917785645,2.0096242427825928,2.014970064163208,2.0207667350769043,100.0,100.0,2
ATEVUQ.Cu(ii).pdb,O,N,O,N,NE,NE,1.9381064176559448,1.9510680437088013,1.9540868997573853,1.9597983360290527,100.0,100.0,2
DEDROV.Cu(ii).pdb,N,N,O,O,O,NE,1.9593325853347778,1.9672077894210815,1.9733659029006958,2.0059964656829834,2.2589097023010254,100.0,2
INUNUB.Cu(ii).pdb,O,N,O,N,O,NE,1.9549225568771362,1.9689855575561523,1.9728748798370361,1.980463981628418,2.300520658493042,100.0,2
LURTIC.Cu(ii).pdb,O,O,N,N,NE,NE,1.916716456413269,1.9169803857803345,2.036468982696533,2.036893129348755,100.0,100.0,2
SEDKIZ.Cu(ii).pdb,N,N,N,CL,O,NE,1.977361798286438,1.9815679788589478,2.0625689029693604,2.2561440467834473,2.291775941848755,100.0,2
ICOGAK.Cu(ii).pdb,N,O,N,N,O,O,1.9517830610275269,1.9571936130523682,2.026822090148926,2.1033713817596436,2.34104061126709,2.370415449142456,2
PAPZOY.Cu(ii).pdb,O,O,N,N,O,NE,1.9609735012054443,1.9906895160675049,2.002906084060669,2.004747152328491,2.397637128829956,100.0,2
YUNJUN.Cu(ii).pdb,O,O,N,N,N,NE,1.9104124307632446,1.9346425533294678,2.0135746002197266,2.022832155227661,2.3692445755004883,100.0,2
QOTHUE01.Cu(ii).pdb,CL,CL,CL,CL,NE,NE,2.2510910034179688,2.2510910034179688,2.2920000553131104,2.2920000553131104,100.0,100.0,2
QEHCOV.Cu(ii).pdb,N,N,N,N,O,NE,2.0186150074005127,2.0448379516601562,2.0881426334381104,2.090543746948242,2.2639877796173096,100.0,2
NEFDOR.Cu(ii).pdb,N,N,N,N,O,NE,1.9535919427871704,1.9981114864349365,2.0056190490722656,2.0191848278045654,2.354628562927246,100.0,2
HUJVAJ.Cu(ii).pdb,N,N,N,N,O,O,1.9936102628707886,1.9988783597946167,2.0234158039093018,2.0304365158081055,2.3610146045684814,2.4279770851135254,2
RESTAM05.Cu(ii).pdb,O,O,O,O,O,NE,1.952724575996399,1.9555972814559937,1.9584846496582031,1.9588143825531006,2.1386430263519287,100.0,2
QIVHUZ.Cu(ii).pdb,N,N,O,O,NE,NE,1.99399995803833,1.9940004348754883,2.128817319869995,2.129809617996216,100.0,100.0,2
NIBJAL.Cu(ii).pdb,O,O,N,N,NE,NE,1.9050774574279785,1.9057672023773193,2.003966808319092,2.0041120052337646,100.0,100.0,2
MPEACU12.Cu(ii).pdb,CL,CL,CL,CL,NE,NE,2.2502667903900146,2.2502667903900146,2.285485029220581,2.285485029220581,100.0,100.0,2
YAFFIW.Cu(ii).pdb,O,N,N,O,NE,NE,1.993743896484375,2.0107967853546143,2.01092529296875,2.3680620193481445,100.0,100.0,2
BOFVEY.Cu(ii).pdb,O,O,N,N,O,NE,1.9642455577850342,1.9734482765197754,1.9801095724105835,1.9895464181900024,2.4341557025909424,100.0,2
YEYTAY.Cu(ii).pdb,O,O,O,O,NE,NE,1.9508376121520996,1.9508376121520996,1.9539010524749756,1.954135537147522,100.0,100.0,2
UBOWER.Cu(ii).pdb,O,N,N,N,O,NE,1.9141945838928223,1.924219012260437,2.0015878677368164,2.0567047595977783,2.2791154384613037,100.0,2
XUZRUG.Cu(ii).pdb,O,O,N,O,N,NE,1.9773005247116089,1.9989895820617676,2.101454973220825,2.122058153152466,2.1497013568878174,100.0,2
JIMYIQ.Cu(ii).pdb,N,N,N,N,NE,NE,2.005714178085327,2.0057144165039062,2.013545036315918,2.013545036315918,100.0,100.0,2
BETVAA.Cu(ii).pdb,N,N,N,N,N,NE,1.9872243404388428,2.053267002105713,2.064182996749878,2.0667357444763184,2.1250293254852295,100.0,2
KACVOZ.Cu(ii).pdb,N,N,N,S,NE,NE,1.9667794704437256,1.9676162004470825,1.9690215587615967,2.3700616359710693,100.0,100.0,2
NEPYAI.Cu(ii).pdb,N,N,N,N,NE,NE,2.0612645149230957,2.0618653297424316,2.087381601333618,2.087381601333618,100.0,100.0,2
AGAXEO.Cu(ii).pdb,O,O,O,O,O,NE,1.9412956237792969,1.9444859027862549,1.9728525876998901,1.9884451627731323,2.4457013607025146,100.0,2
SUPSIG02.Cu(ii).pdb,N,F,NE,NE,NE,NE,2.047781229019165,2.3380000591278076,100.0,100.0,100.0,100.0,2
DEWCUG.Cu(ii).pdb,O,N,O,N,O,NE,1.916043758392334,1.9406139850616455,1.982176661491394,2.004762887954712,2.438042640686035,100.0,2
