ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
BAZXIK.Fe(ii).pdb,C,C,C,C,C,C,2.023373603820801,2.0416054725646973,2.0420286655426025,2.0455334186553955,2.0458106994628906,2.04693341255188,2
YUYHOR.Fe(ii).pdb,N,N,N,N,N,N,1.9386260509490967,1.9388562440872192,1.9772040843963623,1.9772040843963623,2.007317304611206,2.007570505142212,2
IMAKOY.Fe(ii).pdb,N,N,N,NE,NE,NE,2.1649374961853027,2.166348457336426,2.19599986076355,100.0,100.0,100.0,2
IMAKOY.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.19599986076355,100.0,100.0,100.0,100.0,100.0,2
VEMXES.Fe(ii).pdb,N,N,N,N,NE,NE,2.1452536582946777,2.1453423500061035,2.1793229579925537,2.1801681518554688,100.0,100.0,2
VEMXES.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.187814712524414,100.0,100.0,100.0,100.0,100.0,2
WEVRIB.Fe(ii).pdb,N,N,N,CL,CL,NE,2.125906467437744,2.2623138427734375,2.280057430267334,2.293450117111206,2.3350746631622314,100.0,2
VIGDAT.Fe(ii).pdb,O,O,O,N,N,N,2.0522477626800537,2.0529308319091797,2.053600549697876,2.1222972869873047,2.1292941570281982,2.131211519241333,2
VIGDAT.Fe(ii).pdb,O,O,O,N,N,N,2.0245609283447266,2.030149221420288,2.033561944961548,2.1118903160095215,2.127338409423828,2.131002902984619,2
LUMLAJ.Fe(ii).pdb,C,C,C,C,C,C,2.0226633548736572,2.025059223175049,2.0353918075561523,2.0390539169311523,2.041750431060791,2.046067476272583,2
BUYCEG06.Fe(ii).pdb,N,N,N,N,NE,NE,2.147765874862671,2.147897243499756,2.171250343322754,2.171250581741333,100.0,100.0,2
BUYCEG06.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.177377223968506,100.0,100.0,100.0,100.0,100.0,2
MIJJIB.Fe(ii).pdb,O,N,N,N,N,N,2.2191572189331055,2.221196413040161,2.22218656539917,2.2391538619995117,2.248610734939575,2.2518014907836914,2
NUKNOY.Fe(ii).pdb,N,N,N,N,N,N,2.135608434677124,2.140239715576172,2.1837868690490723,2.257032871246338,2.2662065029144287,2.29571270942688,2
NETGEA01.Fe(ii).pdb,N,N,N,N,N,N,2.0982930660247803,2.0982930660247803,2.196796417236328,2.196796417236328,2.2280406951904297,2.2280406951904297,2
ZUJPUP.Fe(ii).pdb,C,C,C,C,C,C,2.024817943572998,2.027261257171631,2.028062343597412,2.037243127822876,2.0378828048706055,2.038547992706299,2
VASYUL.Fe(ii).pdb,N,N,N,N,N,N,1.9531692266464233,1.9541682004928589,1.9553720951080322,1.9559011459350586,2.0292606353759766,2.0292606353759766,2
SAXZOH.Fe(ii).pdb,C,N,N,N,N,N,1.7639999389648438,2.0031323432922363,2.0035746097564697,2.004965305328369,2.005423069000244,2.1332271099090576,2
AXETEC.Fe(ii).pdb,C,C,C,C,C,C,2.034663200378418,2.0371005535125732,2.0389602184295654,2.043327808380127,2.045905590057373,2.0521764755249023,2
AXETEC.Fe(ii).pdb,C,C,C,C,C,C,2.0348610877990723,2.0371005535125732,2.0389602184295654,2.043327569961548,2.045905590057373,2.0521764755249023,2
AJEFIG.Fe(ii).pdb,N,N,NE,NE,NE,NE,2.194977283477783,2.195309638977051,100.0,100.0,100.0,100.0,2
WIZNEB.Fe(ii).pdb,O,O,O,O,N,N,2.1181790828704834,2.1182215213775635,2.137040376663208,2.1370656490325928,2.1991217136383057,2.199190616607666,2
IDUHAT01.Fe(ii).pdb,N,N,N,N,N,N,1.9641602039337158,1.967577576637268,1.9845086336135864,1.9997508525848389,2.011549472808838,2.02105975151062,2
SEQBOH.Fe(ii).pdb,O,O,N,N,N,N,2.122579574584961,2.1235625743865967,2.1404967308044434,2.141019821166992,2.2336530685424805,2.23366641998291,2
QURRED.Fe(ii).pdb,O,O,O,O,O,O,1.9912123680114746,1.9958126544952393,2.0098607540130615,2.011923313140869,2.086848497390747,2.0932693481445312,2
QURRED.Fe(ii).pdb,O,O,O,O,O,O,1.9888046979904175,1.98927903175354,1.9969545602798462,2.0017640590667725,2.078207015991211,2.0838770866394043,2
QURRED.Fe(ii).pdb,O,O,NE,NE,NE,NE,1.9961799383163452,2.010810613632202,100.0,100.0,100.0,100.0,2
QURRED.Fe(ii).pdb,O,O,NE,NE,NE,NE,1.989569902420044,2.001800298690796,100.0,100.0,100.0,100.0,2
TALQUW01.Fe(ii).pdb,N,N,N,N,NE,NE,1.837095856666565,1.840112328529358,1.8526848554611206,1.8645623922348022,100.0,100.0,2
YANSAL.Fe(ii).pdb,C,C,C,C,C,C,2.0470898151397705,2.0492300987243652,2.0505740642547607,2.057584524154663,2.061671257019043,2.075319290161133,2
DUWHIO01.Fe(ii).pdb,F,N,N,N,N,N,0.41506636142730713,1.6691083908081055,1.7216776609420776,1.938218116760254,1.9401665925979614,1.941421627998352,2
DUWHIO01.Fe(ii).pdb,F,N,N,N,N,N,0.41506636142730713,1.651780605316162,1.7241896390914917,1.875810146331787,1.8886231184005737,1.9402990341186523,2
FEDFON.Fe(ii).pdb,N,N,CL,CL,NE,NE,2.07358717918396,2.0740861892700195,2.2670226097106934,2.289029359817505,100.0,100.0,2
SAYBAW03.Fe(ii).pdb,C,N,N,N,N,N,1.7639836072921753,1.999346137046814,1.9995585680007935,2.0031888484954834,2.0075061321258545,2.054274082183838,2
ANOTEF01.Fe(ii).pdb,N,N,N,NE,NE,NE,2.101510524749756,2.1996407508850098,2.199880599975586,100.0,100.0,100.0,2
